Título,Link,Data,Hora
"Instrução Normativa RFB nº 2.082, de 18 de maio de 2022 - Prorroga o prazo de entrega da Escrituração Contábil Digital (ECD) referente ao ano-calendário de 2021.","https://www.gov.br/compras/pt-br/acesso-a-informacao/noticias/instrucao-normativa-rfb-no-2-082-de-18-de-maio-de-2022-prorroga-o-prazo-de-entrega-da-escrituracao-contabil-digital-ecd-referente-ao-ano-calendario-de-2021 ",25/05/2022,16h36
"Portal Nacional de Contratações Públicas já exibe Planos de Contratação Anual do ano exercício de 2023","https://www.gov.br/compras/pt-br/acesso-a-informacao/noticias/portal-nacional-de-contratacoes-publicas-ja-exibe-planos-de-contratacao-anual-do-ano-exercicio-de-2023 ",24/05/2022,08h34
"Resultado do Processo Seletivo DELOG/SEGES/ME – Coordenação-Geral de Sistemas de Compras Governamentais – Edital 141/2022","https://www.gov.br/compras/pt-br/acesso-a-informacao/noticias/resultado-do-processo-seletivo-delog-seges-me-2013-coordenacao-geral-de-sistemas-de-compras-governamentais-2013-edital-141-2022 ",13/05/2022,12h02
"2ª Consulta Pública – Regulamentação da atuação do agente de contratação, equipe de apoio, comissão de contratação, gestores e fiscais de contratos","https://www.gov.br/compras/pt-br/acesso-a-informacao/noticias/2a-consulta-publica-2013-regulamentacao-da-atuacao-do-agente-de-contratacao-equipe-de-apoio-comissao-de-contratacao-gestores-e-fiscais-de-contratos ",10/05/2022,11h29
"Indisponibilidade dos ambientes de homologação do Siasgnet e Sicaf","https://www.gov.br/compras/pt-br/acesso-a-informacao/noticias/indisponibilidade-dos-ambientes-de-homologacao-do-siasgnet-e-sicaf ",06/05/2022,10h55
"Indisponibilidade do Sistema Compras.gov.br","https://www.gov.br/compras/pt-br/acesso-a-informacao/noticias/indisponibilidade-do-sistema-compras-gov-1.br ",02/05/2022,14h17
"Publicação dos atos do SIASG no dia 27/04","https://www.gov.br/compras/pt-br/acesso-a-informacao/noticias/publicacao-dos-atos-do-siasg-no-dia-27-04 ",27/04/2022,12h10
"Manutenção no Sistema Compras.gov.br","https://www.gov.br/compras/pt-br/acesso-a-informacao/noticias/manutencao-no-sistema-compras-gov.br ",14/04/2022,09h52
"Indisponibilidade do Sistema Compras.gov.br","https://www.gov.br/compras/pt-br/acesso-a-informacao/noticias/indisponibilidade-do-sistema-compras-gov.br ",06/04/2022,16h21
"Mais de 3,1 mil municípios já utilizam sistema de compras do governo federal","https://www.gov.br/compras/pt-br/acesso-a-informacao/noticias/mais-de-3-1-mil-municipios-ja-utilizam-sistema-de-compras-do-governo-federal ",04/04/2022,15h08
"Fornecedor, o login do Compras.gov.br vai mudar! Atualize seu cadastro e não perca seu acesso.","https://www.gov.br/compras/pt-br/acesso-a-informacao/noticias/fornecedor-o-login-do-compras-gov-br-vai-mudar-atualize-seu-cadastro-e-nao-perca-seu-acesso ",30/03/2022,16h17
"Manutenção no ambiente do RDC","https://www.gov.br/compras/pt-br/acesso-a-informacao/noticias/manutencao-no-ambiente-do-rdc ",25/03/2022,17h39
"Orientações ao setor de contratações sobre devolução de Documento de Formalização da Demanda (DFD)","https://www.gov.br/compras/pt-br/acesso-a-informacao/noticias/orientacoes-ao-setor-de-contratacoes-sobre-a-devolucao-de-um-documento-de-formalizacao-da-demanda-dfd ",24/03/2022,18h59
